date,bitcoin_price,negative,neutral,positive,currency_price,interest_rate,moving_average,gain,loss,avg_gain,avg_loss,rs,rsi,macd_line,signal_line,macd_histogram,movement
2020-01-07,7734.675515785289,1.0,0.0,0.0,0.89,1.55,7298.447667097324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-08,8147.415237636371,1.0,0.0,0.0,0.86,1.55,7434.48500169823,412.73972,0.0,0.0,0.0,0.0,0.0,32.925106,6.585021,26.340084,0
2020-01-09,8045.789124592971,1.0,0.0,0.0,0.83,1.55,7556.20420978864,0.0,-101.626114,0.0,0.0,0.0,0.0,50.238987,15.315815,34.923172,0
2020-01-10,7832.795643840387,0.0,0.0,0.0,0.85,1.54,7680.33882262534,0.0,-212.99348,0.0,0.0,0.0,0.0,46.24054,21.50076,24.739779,1
2020-01-11,8180.513169803805,1.0,0.0,0.0,0.84,1.54,7806.076856125154,347.71753,0.0,0.0,0.0,0.0,0.0,70.31904,31.264416,39.054626,0
2020-01-12,8012.085781814529,2.0,0.0,0.0,0.83,1.54,7900.463817360569,0.0,-168.42738,0.0,0.0,0.0,0.0,74.94681,40.000893,34.94591,1
2020-01-13,8171.401185320944,0.0,0.0,0.0,0.9,1.54,8017.810808399185,159.3154,0.0,0.0,0.0,0.0,0.0,90.427376,50.08619,40.341187,0
2020-01-14,8110.647964503772,0.0,0.0,0.0,0.9,1.54,8071.521158216112,0.0,-60.75322,0.0,0.0,0.0,0.0,96.6791,59.404774,37.27433,1
2020-01-15,8801.871213137745,2.0,0.0,0.0,0.9,1.54,8165.014869002022,691.22327,0.0,0.0,0.0,0.0,0.0,155.61574,78.646965,76.96877,1
2020-01-16,8820.85010599613,2.0,0.0,1.0,0.9,1.54,8275.737866345331,18.978893,0.0,0.0,0.0,0.0,0.0,201.53175,103.22392,98.30783,0
2020-01-17,8720.91950137424,0.0,0.0,0.0,0.9,1.55,8402.612703135881,0.0,-99.9306,0.0,0.0,0.0,0.0,227.23752,128.02664,99.21087,1
2020-01-18,8902.568995225329,0.0,0.0,0.0,0.9,1.55,8505.763535338954,181.64949,0.0,0.0,0.0,0.0,0.0,259.27832,154.27698,105.00133,1
2020-01-19,8906.902675151074,1.0,0.0,1.0,0.9,1.55,8633.594520101318,4.33368,0.0,0.0,0.0,0.0,0.0,281.77246,179.77608,101.99639,0
2020-01-20,8690.380569544623,4.0,0.0,1.0,0.9,1.55,8707.734432133273,0.0,-216.52211,129.71129,-61.446636,-2.1109583,190.0123850393915,278.9126,199.60338,79.30921,0
2020-01-21,8631.253954333763,1.0,1.0,1.0,0.9,1.55,8782.1067163947,0.0,-59.126614,129.71129,-65.66997,-1.9751995,202.54312266644234,268.7768,213.43806,55.338737,1
