Model,Crypto,Train Start Date,Train End Date,Test Start Date,Test End Date,Predicted,Result,Consistency
gbc_model,bitcoin,2020-01-01,2023-06-29,2023-06-30,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",60.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-05,2023-07-19,"0,1,1,0,0,0,0,0,0,0,0,0,1,1,1","0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",60.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-10,2023-07-19,"0,0,0,1,1,1,0,1,1,0","1,1,0,1,0,0,0,0,0,1",30.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-15,2023-07-19,"1,0,1,1,0","0,0,0,0,1",20.0%
gbc_model,bitcoin,2020-01-01,2023-07-03,2023-07-19,2023-07-19,0,1,0.0%
gbc_model,bitcoin,2020-01-01,2023-06-01,2023-06-02,2023-07-19,"0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1","1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",54.17%
gbc_model,bitcoin,2023-05-14,2023-06-14,2023-06-15,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",51.43%
gbc_model,bitcoin,2023-04-14,2023-06-14,2023-06-15,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",51.43%
gbc_model,bitcoin,2023-03-14,2023-06-14,2023-06-15,2023-07-19,"1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",57.14%
gbc_model,bitcoin,2023-02-14,2023-06-14,2023-06-15,2023-07-19,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",54.29%
gbc_model,bitcoin,2023-01-14,2023-06-14,2023-06-15,2023-07-19,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",57.14%
gbc_model,bitcoin,2023-06-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,1,1","0,0,0,0,1",60.0%
gbc_model,bitcoin,2023-05-14,2023-07-14,2023-07-15,2023-07-19,"1,1,1,1,1","0,0,0,0,1",20.0%
gbc_model,bitcoin,2023-04-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,0,0","0,0,0,0,1",60.0%
gbc_model,bitcoin,2023-03-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,0,1","0,0,0,0,1",80.0%
gbc_model,bitcoin,2023-02-14,2023-07-14,2023-07-15,2023-07-19,"1,0,0,1,1","0,0,0,0,1",60.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-06,"1,1,1,0,1","0,0,1,1,0",20.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-05,"0,1,1,0","0,0,1,1",50.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-04,"1,1,1","0,0,1",33.33%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-03,"0,1","0,0",50.0%
gbc_model,bitcoin,2020-01-01,2023-04-01,2023-04-02,2023-04-02,"0,1,1,0,0","0,0,1,1,0",60.0%
gbc_model,bitcoin,2020-01-01,2023-06-18,2023-06-19,2023-07-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1",54.84%
gbc_model,bitcoin,2020-01-01,2023-05-18,2023-05-19,2023-06-19,"0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0","1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1",65.62%
gbc_model,bitcoin,2020-01-01,2023-04-18,2023-04-19,2023-05-19,"0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1","0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1",41.94%
gbc_model,bitcoin,2020-01-01,2023-03-18,2023-03-19,2023-04-19,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0","1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0",40.62%
gbc_model,bitcoin,2020-01-01,2023-02-18,2023-02-19,2023-03-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1",51.72%
gbc_model,bitcoin,2020-01-01,2023-01-18,2023-01-19,2023-02-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0","1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0",43.75%
gbc_model,bitcoin,2020-01-01,2022-12-18,2022-12-19,2023-01-19,"0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1",59.38%
gbc_model,bitcoin,2020-01-01,2022-11-18,2022-11-19,2022-12-19,"1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0","1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0",51.61%
gbc_model,bitcoin,2020-01-01,2022-10-18,2022-10-19,2022-11-19,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1","0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1",53.12%
gbc_model,bitcoin,2020-01-01,2022-09-18,2022-09-19,2022-10-19,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0",38.71%
gbc_model,bitcoin,2020-01-01,2021-01-01,2021-01-02,2021-02-02,"1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0","1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1",46.88%
gbc_model,bitcoin,2020-01-01,2021-02-01,2021-02-02,2021-03-02,"1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1","1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0",34.48%
gbc_model,bitcoin,2020-01-01,2021-03-01,2021-03-02,2021-04-02,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1",59.38%
gbc_model,bitcoin,2020-01-01,2021-04-01,2021-04-02,2021-05-02,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0",41.94%
gbc_model,bitcoin,2020-01-01,2021-05-01,2021-05-02,2021-06-02,"1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1","0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1",50.0%
